AJ920342.1.1737	Cylicocyclus insigne
JN256987.1.1705	Ascaris sp. 3 YL-2012
JN256992.1.1703	Baylisascaris schroederi
EF180081.1.1754	Dujardinascaris waltoni
U94373.1.1753	Heterocheilus tunicatus
U94371.1.1754	Cruzia americana
AF083003.1.1779	Heterakis sp. 14690
EF180070.1.1755	Aspidodera sp. SAN-2007
DQ531723.1.1746	Dipetalonema sp. YQ-2006
AY843438.1.1762	Wuchereria bancrofti
AAQA01005177.63.1775	Brugia malayi
AF227233.1.1676	Litomosoides sigmodontis
AF036638.1.1732	Dirofilaria immitis
AF036589.1.1756	Brumptaemilius justini
AF036590.1.1779	Dentostomella sp.
AY284713.1.1710	Chromadorid sp. JH-2004
AF047891.1.1742	Chromadoropsis vivipara
Y16919.1.1805	Laxus oneistus
Y16918.1.1819	Laxus cosmopolitus
Y16920.1.1848	Leptonemella sp.
Y16917.1.1825	Eubostrichus topiarius
Y16916.1.1836	Eubostrichus parasitiferus
Y16915.1.1822	Eubostrichus dianae
AY283163.1.1760	Longidorus ferrisi
AY284816.1.1727	Longidorus cf. intermedius JH-2004
AY687994.1.1753	Longidorus attenuatus
AY284818.1.1729	Longidorus dunensis
AY283165.1.1756	Longidorus grandis
AY283158.1.1757	Longidorus crassus
AF036587.1.1741	Ascaris suum
JN256987.1.1705	Ascaris sp. 3 YL-2012
JN256992.1.1703	Baylisascaris schroederi
EF180081.1.1754	Dujardinascaris waltoni
U94373.1.1753	Heterocheilus tunicatus
U94371.1.1754	Cruzia americana
AF083003.1.1779	Heterakis sp. 14690
EF180070.1.1755	Aspidodera sp. SAN-2007
DQ531723.1.1746	Dipetalonema sp. YQ-2006
AY843438.1.1762	Wuchereria bancrofti
AF036589.1.1756	Brumptaemilius justini
Y16919.1.1805	Laxus oneistus
Y16918.1.1819	Laxus cosmopolitus
Y16920.1.1848	Leptonemella sp.
Y16917.1.1825	Eubostrichus topiarius
Y16916.1.1836	Eubostrichus parasitiferus
Y16915.1.1822	Eubostrichus dianae
AY283163.1.1760	Longidorus ferrisi
AY284816.1.1727	Longidorus cf. intermedius JH-2004
AY687994.1.1753	Longidorus attenuatus
AY284818.1.1729	Longidorus dunensis
AY283165.1.1756	Longidorus grandis
AY283158.1.1757	Longidorus crassus
AY283171.1.1761	Longidorus biformis
AY283168.1.1754	Longidorus americanum
AY687995.1.1754	Longidorus euonymus
AY283172.1.1750	Longidorus fragilis
EU503141.1.1754	Longidorus elongatus
AY284784.1.1722	Ecumenicus monohystera 	
AF036596.1.1760	Mylonchulus arenicolus
AF036641.1.1749	Mermis nigrescens
Y16914.1.1852	Enoplus meridionalis
U88336.1.1797	Enoplus brevis
AC006763.9285.11073	Saccharomyces_Caenorhabditis elegans
AY593939.1.1717	Cylindrolaimus communis
FJ969121.1.1758	Cylindrolaimus sp. CyliSp1
AF202149.1.1763	Cylindrolaimus sp. 202149
EU196018.1.1768	Brevibucca saprophaga
AF036604.1.1722	Steinernema carpocapsae
EU130798.1.855	Pratylenchus coffeae
AF036591.1.1679	Oscheius tipulae
AF082998.1.1709	Oscheius dolichuroides
U13931.1.1685	caenorhabditis remanei
JN636063.1.1724	Caenorhabditis sp. 11
JN636065.1.1751	Caenorhabditis japonica
AY268121.1.1756	Meloidogyne javanica
ABLG01002648.6192.7987	Meloidogyne hapla
AC167688.8242.9999	Daphnia pulex
ADBU02009332.4271.6065	Loa loa
ADBW01003330.1.1234	Onchocerca volvulus
AF036637.1.1845	Trichuris muris
AF083010.1.1711	Pristionchus pacificus
AJ920361.1.1763	Dictyocaulus viviparus
CAQS01000365.44889.46692	Romanomermis culicivorax
DQ094171.1.1751	Acanthocheilonema viteae
GU206792.1.1710	Bursaphelenchus xylophilus
JN636065.1.1751	Caenorhabditis japonica
KC006422.1.1827	Trichinella spiralis
AY593888.1.1695	Meloidogyne chitwoodi
Caenorhabditis	Caenorhabditis sp. 5
JN256987.1.1705	Ascaris sp. 3 YL-2012
Y16917.1.1825	Eubostrichus topiarius
U94382.1.1754	Toxocara canis
U94378.1.1754	Parascaris equorum
U94366.1.1754	Ascaris lumbricoides
M84229.1.1766	Strongyloides stercoralis
EU496884.1.641	Brugia pahangi
JX674037.1.1492	Rhabditophanes sp. AMS-2013
KF770013.1.1821	Dracunculus medinensis
JF934731.1.1825	Enterobius vermicularis
DQ118536.1.1867	Trichuris trichiura
DQ116748.1.1759	Angiostrongylus costaricensis
EF464553.1.1262	Syphacia muris
DQ094174.1.1774	Onchocerca cervicalis
AY295804.1.1691	Angiostrongylus cantonensis
AY277895.1.1743	Soboliphyme baturini
ADBW01003330.1.1234	Onchocerca volvulus
AF202151.1.1539	Rhabditophanes sp. KR3021
AJ417024.1.1153	Parastrongyloides trichosuri
AJ920356.1.1737	Nippostrongylus brasiliensis
AB453323.1.1250	Strongyloides papillosus
AB453330.1.1247	Strongyloides venezuelensis
AB495389.1.1782	Gongylonema pulchrum
AB538282.1.1532	Thelazia callipaeda
CACX01001659.64.1775	Strongyloides ratti
AB277822.1.1353	Anisakis simplex
AF227234.1.1758	Wuchereria bancrofti
AY589304.1.1684	Howardula aoronymphium

